aci:296	sin degeri:-0.899939	 cos degeri:0.436016
aci:297	sin degeri:-0.892196	 cos degeri:0.451647
aci:298	sin degeri:-0.884182	 cos degeri:0.467142
aci:299	sin degeri:-0.875899	 cos degeri:0.482494
aci:300	sin degeri:-0.867350	 cos degeri:0.497699
aci:301	sin degeri:-0.858536	 cos degeri:0.512753
aci:302	sin degeri:-0.849461	 cos degeri:0.527651
aci:303	sin degeri:-0.840128	 cos degeri:0.542389
aci:304	sin degeri:-0.830539	 cos degeri:0.556961
aci:305	sin degeri:-0.820697	 cos degeri:0.571364
aci:306	sin degeri:-0.810605	 cos degeri:0.585593
aci:307	sin degeri:-0.800267	 cos degeri:0.599643
aci:308	sin degeri:-0.789686	 cos degeri:0.613512
aci:309	sin degeri:-0.778864	 cos degeri:0.627193
aci:310	sin degeri:-0.767805	 cos degeri:0.640684
aci:311	sin degeri:-0.756512	 cos degeri:0.653980
aci:312	sin degeri:-0.744989	 cos degeri:0.667077
aci:313	sin degeri:-0.733240	 cos degeri:0.679970
aci:314	sin degeri:-0.721267	 cos degeri:0.692657
aci:315	sin degeri:-0.709075	 cos degeri:0.705133
aci:316	sin degeri:-0.696667	 cos degeri:0.717395
aci:317	sin degeri:-0.684047	 cos degeri:0.729438
aci:318	sin degeri:-0.671219	 cos degeri:0.741259
aci:319	sin degeri:-0.658187	 cos degeri:0.752855
aci:320	sin degeri:-0.644954	 cos degeri:0.764221
aci:321	sin degeri:-0.631525	 cos degeri:0.775355
aci:322	sin degeri:-0.617904	 cos degeri:0.786254
aci:323	sin degeri:-0.604095	 cos degeri:0.796912
aci:324	sin degeri:-0.590102	 cos degeri:0.807329
aci:325	sin degeri:-0.575930	 cos degeri:0.817499
aci:326	sin degeri:-0.561582	 cos degeri:0.827421
aci:327	sin degeri:-0.547063	 cos degeri:0.837091
aci:328	sin degeri:-0.532378	 cos degeri:0.846507
aci:329	sin degeri:-0.517531	 cos degeri:0.855664
aci:330	sin degeri:-0.502527	 cos degeri:0.864562
aci:331	sin degeri:-0.487369	 cos degeri:0.873196
aci:332	sin degeri:-0.472063	 cos degeri:0.881565
aci:333	sin degeri:-0.456614	 cos degeri:0.889665
aci:334	sin degeri:-0.441025	 cos degeri:0.897495
aci:335	sin degeri:-0.425303	 cos degeri:0.905051
aci:336	sin degeri:-0.409451	 cos degeri:0.912332
aci:337	sin degeri:-0.393474	 cos degeri:0.919336
aci:338	sin degeri:-0.377378	 cos degeri:0.926059
aci:339	sin degeri:-0.361167	 cos degeri:0.932501
aci:340	sin degeri:-0.344846	 cos degeri:0.938659
aci:341	sin degeri:-0.328419	 cos degeri:0.944532
aci:342	sin degeri:-0.311894	 cos degeri:0.950117
aci:343	sin degeri:-0.295273	 cos degeri:0.955413
aci:344	sin degeri:-0.278562	 cos degeri:0.960418
aci:345	sin degeri:-0.261766	 cos degeri:0.965131
aci:346	sin degeri:-0.244891	 cos degeri:0.969551
aci:347	sin degeri:-0.227942	 cos degeri:0.973675
aci:348	sin degeri:-0.210923	 cos degeri:0.977503
aci:349	sin degeri:-0.193839	 cos degeri:0.981033
aci:350	sin degeri:-0.176697	 cos degeri:0.984265
aci:351	sin degeri:-0.159501	 cos degeri:0.987198
aci:352	sin degeri:-0.142257	 cos degeri:0.989830
aci:353	sin degeri:-0.124969	 cos degeri:0.992161
aci:354	sin degeri:-0.107643	 cos degeri:0.994190
aci:355	sin degeri:-0.090284	 cos degeri:0.995916
aci:356	sin degeri:-0.072898	 cos degeri:0.997339
aci:357	sin degeri:-0.055490	 cos degeri:0.998459
aci:358	sin degeri:-0.038065	 cos degeri:0.999275
aci:359	sin degeri:-0.020628	 cos degeri:0.999787
aci:360	sin degeri:-0.003185	 cos degeri:0.999995
